region,cash_capita,real_incomes,real_pay,formal_wage_paid,child_mortality,disabled,alco,drugs,gross,living_area,poor_living_conditions,general_morbidity,teen_pregnancy,birth,population,poverty_percent,children_per,pensioners_per,working_age_per,reg_mining,reg_electric,reg_water,reg_manuf,reg_indust,retail,welfare,orphans_need,adopted,children_%,retiree,pension,retired_percent,living_wage,crime
Свердловская область,36207.333333333336,-0.11653474450509982,0.14358103552293966,36702.833333333336,493.03125,2887300.0,96.70714285714284,28.599999999999998,240022.08399999997,15.8,0.5,74009.7,1127.6333333333334,54376.48562499999,4264340,15.896153846153844,46.3,2.2,51.5,82182147.125,244949710.18750003,72382575.44500001,1953744313.3975,2353258746.155,252215.0,21.15,2078.25,1760.625,20.8417155275,1146340.5714285714,14535.61857142857,25.37142857142857,10817.0,21953.871794871793
Ханты-Мансийский автономный округ — Югра,50059.5,-0.009115314408640107,0.07662640997600012,69360.0,175.03225806451613,543149.1666666666,110.50714285714288,22.842857142857145,880545.547826087,13.9,0.6,89524.4,1403.8666666666668,23907.366875,1702240,7.8307692307692305,55.6,1.6,42.9,3320220987.4500003,220242182.79999998,23989538.15,618836550.8924999,4183289259.2925005,243728.77777777778,14.85,59.125,347.25,25.07034096625,377333.5714285714,20895.92142857143,15.814285714285715,15890.0,6659.4358974358975
Ямало-Ненецкий автономный округ,78070.5,0.15336344041999972,0.22546234361600015,93313.33333333333,90.5,145572.66666666666,141.69285714285715,18.08571428571429,1640576.786956522,15.5,0.8,113972.4,1704.6333333333332,7957.1875,552117,5.750000000000001,51.0,0.7,48.4,2351223033.225,53939251.0,11384815.625,368252669.38,2784799769.23,249421.33333333334,13.116666666666665,80.75,191.25,26.159551793749998,120536.85714285714,21044.382857142857,11.742857142857142,16640.0,2444.5384615384614
Тюменская область,28856.5,-0.008757745528959804,0.17033608203259964,43150.833333333336,434.625,987659.8333333334,117.22727272727273,19.263636363636365,966404.5959999999,18.1,1.0,63981.399999999994,1585.4666666666665,52818.361249999994,3806505,13.534615384615389,37.9,7.5,54.7,218648828.27499998,53001253.010000005,13002333.925,701439790.755,986092205.965,244851.11111111112,18.71666666666667,269.375,508.125,22.9532965675,325383.71428571426,17420.35,22.357142857142858,11748.0,8732.76923076923
Челябинская область,24744.833333333332,-0.1200412788064481,0.09668500353843212,34139.5,433.125,2332220.1666666665,114.20714285714284,27.014285714285716,189387.968,16.0,0.5,87331.7,1530.5666666666666,42948.986874999995,3418606,18.065384615384616,40.6,6.0,53.4,93129156.525,129556997.4725,38519361.3075,1436463755.1,1697669270.405,156456.77777777778,21.683333333333334,2361.625,1240.125,20.917171205,896189.5714285715,13884.025714285714,25.314285714285713,11232.0,22544.371794871793
Республика Алтай,19304.166666666668,0.06958134826895046,0.3567402835069997,29151.833333333332,59.5625,228873.33333333334,116.1,7.192857142857142,107821.5,14.4,1.8,89430.0,2231.233333333333,3887.4375,221559,32.926923076923075,44.5,2.9,52.6,2061726.7750000001,2872515.9749999996,465722.825,4156743.5625,9556709.1375,116796.11111111111,17.26666666666667,183.75,162.375,30.39333324875,40944.42857142857,12796.235714285716,18.014285714285716,10697.0,2337.5
Республика Тыва,16124.166666666666,0.04557527099313208,0.27973770447680035,34826.166666666664,136.40625,220805.66666666666,86.57142857142858,10.864285714285714,92912.776,13.6,7.3,63618.35,959.3666666666667,7402.311250000001,332609,45.31153846153847,45.0,2.6,52.4,22585844.675,4803955.2075000005,334944.69999999995,529174.255,28253918.8375,71062.88888888889,20.400000000000002,169.625,563.0,36.9003565875,49391.0,14713.874285714288,11.114285714285714,10674.0,2807.871794871795
Республика Хакасия,21181.5,0.008139927334400054,0.18963201556992026,36441.666666666664,97.9375,292806.6666666667,114.7,15.964285714285717,184767.28,17.9,1.0,84791.05,1032.2666666666667,7218.185624999999,528338,24.18076923076923,43.2,2.4,54.3,67074184.925000004,51917294.95,1881975.375,96731987.25,217605442.52499998,150800.0,20.200000000000003,130.5,314.75,23.542532416249998,126818.42857142857,13750.245714285715,22.985714285714288,11795.0,4765.974358974359
Алтайский край,22480.833333333332,-0.10193484237999995,0.21324317664838421,24598.0,323.6875,1816918.1666666667,146.34285714285716,26.207142857142856,114429.31599999999,18.0,0.2,111208.65,1600.0333333333335,27605.676249999993,2268179,28.96538461538461,31.4,9.2,59.4,7014632.824999999,45471965.17,9664880.375,337589826.13,399741304.42499995,144555.33333333334,26.316666666666663,1036.5,936.75,20.66793140875,630019.8571428572,12833.474285714286,26.685714285714287,10211.0,16964.9358974359
Красноярский край,29723.833333333332,0.0005965968071839356,0.24572884020704033,44275.833333333336,464.71875,1893378.1666666667,133.19285714285712,22.307142857142853,337849.376,16.6,0.8,78460.95000000001,1497.0666666666666,36217.365,2849169,19.426923076923078,35.8,4.8,59.4,679192366.95,172422240.635,30496693.88,1373671073.6525002,2255782375.1175003,184501.88888888888,20.366666666666667,2106.625,1523.375,21.387845718750004,705836.1428571428,15137.50857142857,22.557142857142857,13053.0,17580.410256410258
Иркутская область,24346.833333333332,-0.02118148112098006,0.19365204872599984,40869.833333333336,430.90625,2213283.8333333335,160.91428571428574,28.678571428571427,237599.41200000004,16.3,0.9,97599.6,1006.0,34139.17562499999,2357134,23.253846153846155,41.5,7.0,51.5,552957575.55,123274329.775,17268020.9,505605561.275,1199105487.5,142186.33333333334,22.983333333333334,2232.125,1710.25,23.54693924875,604853.0,14845.385714285716,22.37142857142857,11982.0,15168.923076923076
Кемеровская область — Кузбасс,23141.666666666668,-0.08297195113216016,0.24946751449175997,35708.0,378.59375,2322801.5,87.85,32.19285714285714,188432.1,16.3,0.1,86666.6,1866.5,32072.613124999996,2604272,16.31153846153846,39.7,4.5,55.8,916654980.525,97795766.8425,32715991.5475,620240616.1925,1667407355.2075,139066.44444444444,21.55,2096.875,1903.5,21.27300275875,704709.8571428572,14078.904285714283,25.157142857142855,10403.0,20121.858974358973
Новосибирская область,28499.333333333332,0.04644216619064023,0.23841102936320024,34463.333333333336,326.6875,1928634.6666666667,64.03571428571428,25.5,196373.77200000003,16.3,1.1,76264.95,1421.5,33832.54124999999,2780292,25.04615384615385,34.1,4.4,61.5,67549565.975,64822280.66000001,20796745.5375,526400823.5175,679569415.69,181243.22222222222,21.450000000000003,688.875,871.5,19.982271488749998,694504.0,13747.339999999998,24.599999999999998,11845.0,12589.910256410256
Омская область,25742.5,-0.12904032766324613,0.156561600315968,31826.166666666668,257.90625,1337388.5,65.74285714285715,10.571428571428571,178710.56399999998,16.9,0.3,88733.5,1132.5333333333335,24406.615625,1879548,19.111538461538462,38.8,5.1,56.2,3121227.45,52907289.650000006,11134680.774999999,895609084.2225,962772282.0975001,169246.11111111112,26.149999999999995,581.0,714.625,20.90419617125,495861.0,13199.151428571427,24.571428571428573,10324.0,9295.73076923077
Томская область,27370.5,-0.13792743993702372,0.1496350038588803,40624.666666666664,141.8125,649031.5,81.46428571428571,13.414285714285711,252385.984,16.9,0.4,71028.35,1009.1,12830.999375,1068304,18.376923076923077,42.2,3.6,54.2,176564442.0,35486983.277499996,8525704.075,185826651.87499997,406403781.3275,142619.22222222222,20.26666666666667,439.5,506.25,20.62310691875,254532.7142857143,15253.05857142857,22.514285714285716,11850.0,6555.179487179487
Республика Бурятия,24480.333333333332,-0.11701039012047998,0.18412432078471985,34592.333333333336,172.1875,787016.0,61.58571428571428,5.442857142857144,126111.24,17.2,2.6,60954.6,1059.1666666666667,15347.311249999999,982629,29.89230769230769,41.7,3.7,54.6,34718663.175,26144253.657500003,2294639.8575,74400145.8725,137557702.5625,175618.88888888888,20.8,417.375,725.75,26.2978249725,202208.85714285713,13532.05857142857,19.72857142857143,12333.0,8697.51282051282
Республика Саха (Якутия),41844.833333333336,0.017201508998150095,0.12512436737029953,65881.33333333333,199.09375,557478.0,226.10714285714286,6.77857142857143,445547.972,16.5,1.1,103609.70000000001,1822.3666666666668,15041.310625,992115,21.684615384615377,44.2,5.1,50.7,778524891.175,67625405.80250001,6149267.15,36594250.4725,888893814.55,219827.33333333334,14.283333333333331,526.125,549.125,27.142126336249994,220330.85714285713,19492.027142857143,16.585714285714285,17824.0,5212.858974358975
Забайкальский край,23932.666666666668,-0.040945362589062784,0.22265901354086015,38373.5,214.3125,831253.0,122.05,7.757142857142858,141752.932,17.1,0.9,67719.95,1664.3,15797.249375,1043467,34.4076923076923,33.4,7.2,59.3,124267867.85,33936623.075,3242204.3999999994,26805987.7625,188252683.0625,148510.66666666666,22.966666666666665,1425.625,718.125,24.84079071,221499.57142857142,13342.068571428574,20.057142857142857,12999.0,9943.961538461539
Камчатский край,48132.0,0.05049618728410388,0.2260867617109159,70722.83333333333,48.375,142419.5,140.75714285714287,8.178571428571427,324625.056,15.9,2.0,79468.65,1427.3666666666668,3834.875,312704,20.115384615384617,42.6,5.9,51.5,23851252.125,20883110.525,2800434.9,123604719.1,171139516.625,176961.66666666666,13.933333333333332,297.125,145.5,20.467565183750004,81718.14285714286,21317.22857142857,20.214285714285715,21524.0,1927.5128205128206
Приморский край,33902.0,-0.03542156414354791,0.21629444325160185,41116.666666666664,300.25,1139707.8333333333,96.0642857142857,33.01428571428572,214573.54,15.7,1.4,71697.25,1630.6666666666667,22051.930624999997,1863011,25.407692307692304,49.6,4.2,46.2,22455433.7375,66199283.85,9961084.045,250033929.115,348649730.7475,198118.44444444444,21.7,1915.75,946.125,19.23778905125,459629.85714285716,14320.50857142857,24.285714285714285,14025.0,10457.205128205129
Хабаровский край,38567.666666666664,-0.08164031331009991,0.11350159818920003,45182.333333333336,205.875,698636.3333333334,135.70714285714288,11.292857142857144,249471.188,15.4,0.2,67013.45000000001,1201.8,16668.5625,1298978,19.157692307692308,32.7,6.4,60.9,54872070.24999999,57531118.0,12990158.049999999,319078735.8125,444472082.1125,230455.0,21.083333333333332,1192.125,696.0,20.19356464875,331342.5714285714,16283.047142857144,22.599999999999998,15569.0,7941.25641025641
Амурская область,30861.5,-0.027403665734656135,0.26585639060480015,41014.333333333336,174.84375,689333.6666666666,117.42142857142858,25.092857142857138,196049.81199999995,17.3,0.3,83665.5,1763.2,10224.059375,772525,26.188461538461546,38.4,4.7,56.9,80939265.325,40325051.675,3183552.825,35828147.2,160276017.125,205867.0,23.816666666666666,744.5,582.375,22.211413442500003,187448.42857142858,14376.509999999998,22.514285714285712,13530.0,6080.7307692307695
Магаданская область,58826.833333333336,0.0784119665682439,0.2665458540350003,82467.5,26.4375,53288.666666666664,317.8,18.814285714285717,488520.87200000003,13.8,0.0,68714.79999999999,4021.9,1678.375,137767,17.915384615384617,45.8,11.5,54.2,76366952.75,16682955.124999998,999898.1000000001,91562618.8175,185612424.7925,214824.22222222222,11.666666666666664,230.25,59.125,20.63277497125,40223.0,21487.675714285717,21.014285714285712,20830.0,1013.8589743589744
Сахалинская область,53568.333333333336,0.05227032996800007,0.25154656064000047,75366.83333333333,68.25,228219.5,285.67857142857144,28.27142857142857,860733.34,17.2,0.0,82027.2,3441.4,6156.676875,484177,18.892307692307693,44.9,12.1,43.0,846310542.275,18330060.9525,3436313.85,61498004.3,929574921.3774999,294622.77777777775,12.950000000000001,299.0,263.625,21.016273803749996,145305.57142857142,18548.972857142853,22.97142857142857,16130.0,3137.628205128205
Еврейская автономная область,24975.5,-0.13307277375078397,0.16658908482406387,37558.166666666664,46.125,133875.83333333334,164.3642857142857,34.371428571428574,157024.00400000002,13.8,0.5,68677.5,1718.4333333333332,2186.0625,153831,22.21923076923077,34.8,10.8,54.4,12247185.225,4597385.475,463655.725,6364508.75,23672735.175,144836.0,24.849999999999998,330.125,122.5,22.73442909,37462.42857142857,13866.335714285713,22.485714285714284,15416.0,984.3333333333334
Чукотский автономный округ,75961.83333333333,0.12378906731056016,0.21442191284960055,97464.16666666667,19.46875,17199.5,449.64285714285705,2.585714285714286,724122.6760000001,14.1,0.0,118067.15,1694.3,669.4375,50040,11.93846153846154,51.0,2.7,49.0,42658962.75,9914401.924999999,507877.575,40664565.3,93745807.55000001,168237.55555555556,6.55,54.0,41.125,25.24734485875,12337.42857142857,25242.222857142853,14.171428571428573,23999.0,349.8974358974359
